"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
12 "tt0167261" 2013-01-27 2013-01-27 NA "The Lord of the Rings: The Two Towers" "https://www.imdb.com/title/tt0167261/" "movie" 8.7 179 2002 "Adventure, Drama, Fantasy" 1257992 2002-12-05 "Peter Jackson" 6 2013-01-31
52 "tt0119094" 2013-01-27 2013-01-27 NA "Face/Off" "https://www.imdb.com/title/tt0119094/" "movie" 7.3 138 1997 "Action, Crime, Sci-Fi, Thriller" 309962 1997-06-19 "John Woo" 4 2013-02-01
249 "tt0417741" 2013-02-14 2013-02-14 NA "Harry Potter and the Half-Blood Prince" "https://www.imdb.com/title/tt0417741/" "movie" 7.6 153 2009 "Adventure, Family, Fantasy, Mystery" 380749 2009-07-06 "David Yates" 7 2013-02-14
229 "tt0206917" 2013-02-03 2013-02-03 NA "The Man Who Cried" "https://www.imdb.com/title/tt0206917/" "movie" 6.2 100 2000 "Drama, Music, Romance, War" 13253 2000-09-02 "Sally Potter" 6 2013-02-03
328 "tt3205802" 2015-04-20 2015-04-20 NA "How to Get Away with Murder" "https://www.imdb.com/title/tt3205802/" "tvSeries" 8.2 43 2014 "Crime, Drama, Mystery, Thriller" 90830 2014-09-25 NA 9 2017-05-08
30 "tt0079944" 2013-01-27 2013-01-27 NA "Stalker" "https://www.imdb.com/title/tt0079944/" "movie" 8.1 162 1979 "Drama, Sci-Fi" 88167 1979-05-31 "Andrei Tarkovsky" 4 2013-01-31
422 "tt5580390" 2018-01-28 2018-01-28 NA "The Shape of Water" "https://www.imdb.com/title/tt5580390/" "movie" 7.5 123 2017 "Adventure, Drama, Fantasy, Horror, Romance, Thriller" 205447 2017-08-31 "Guillermo del Toro" 7 2018-01-28
104 "tt0386140" 2013-01-27 2013-01-27 NA "The Legend of Zorro" "https://www.imdb.com/title/tt0386140/" "movie" 5.9 129 2005 "Action, Adventure, Western" 80821 2005-10-24 "Martin Campbell" 4 2013-02-01
311 "tt0038650" 2014-11-06 2014-11-06 NA "It's a Wonderful Life" "https://www.imdb.com/title/tt0038650/" "movie" 8.6 130 1946 "Drama, Family, Fantasy" 327932 1946-12-20 "Frank Capra" 9 2013-02-12
33 "tt0046250" 2013-01-27 2013-01-27 NA "Roman Holiday" "https://www.imdb.com/title/tt0046250/" "movie" 8.1 118 1953 "Comedy, Romance" 112325 1953-08-20 "William Wyler" 10 2014-01-14
289 "tt0038787" 2014-02-01 2014-02-01 NA "Notorious" "https://www.imdb.com/title/tt0038787/" "movie" 8 101 1946 "Drama, Film-Noir, Romance, Thriller" 81075 1946-08-15 "Alfred Hitchcock" 9 2014-02-01
263 "tt0056592" 2013-06-23 2013-06-23 NA "To Kill a Mockingbird" "https://www.imdb.com/title/tt0056592/" "movie" 8.3 129 1962 "Crime, Drama" 253828 1962-12-25 "Robert Mulligan" 8 2013-06-23
253 "tt2388725" 2013-02-20 2013-02-20 NA "Paperman" "https://www.imdb.com/title/tt2388725/" "short" 8.3 7 2012 "Animation, Short, Comedy, Family, Romance" 28284 2012-11-02 "John Kahrs" 9 2013-02-20
74 "tt0112471" 2013-01-27 2013-01-27 NA "Before Sunrise" "https://www.imdb.com/title/tt0112471/" "movie" 8.1 101 1995 "Drama, Romance" 220428 1995-01-24 "Richard Linklater" 8 2013-01-31
178 "tt0489788" 2013-01-28 2013-01-28 NA "Nok-e borj" "https://www.imdb.com/title/tt0489788/" "movie" 4 NA 2005 "Comedy" 121 2005-08-25 "Kiumars Poorahmad" 5 2016-01-26
177 "tt2358899" 2013-01-28 2013-01-28 NA "At the End of 8th Street" "https://www.imdb.com/title/tt2358899/" "movie" 6.3 90 2012 "Drama" 633 2012-03-15 "Alireza Amini" 3 2013-02-01
132 "tt0810900" 2013-01-27 2013-01-27 NA "High School Musical 2" "https://www.imdb.com/title/tt0810900/" "tvMovie" 4.9 104 2007 "Comedy, Drama, Family, Music, Musical, Romance" 46116 2007-08-17 "Kenny Ortega" 3 2013-02-01
342 "tt0036775" 2015-11-18 2015-11-18 NA "Double Indemnity" "https://www.imdb.com/title/tt0036775/" "movie" 8.3 107 1944 "Crime, Drama, Film-Noir, Mystery, Thriller" 117680 1944-07-03 "Billy Wilder" 8 2015-11-18
351 "tt0304415" 2015-12-15 2015-12-15 NA "Mona Lisa Smile" "https://www.imdb.com/title/tt0304415/" "movie" 6.5 117 2003 "Drama" 67808 2003-12-19 "Mike Newell" 7 2015-12-15
106 "tt0386588" 2013-01-27 2013-01-27 NA "Hitch" "https://www.imdb.com/title/tt0386588/" "movie" 6.6 118 2005 "Comedy, Romance" 266873 2005-02-10 "Andy Tennant" 3 2013-02-01
241 "tt0099729" 2013-02-06 2013-02-06 NA "Hamoun" "https://www.imdb.com/title/tt0099729/" "movie" 8.2 120 1990 "Drama" 5443 1990-02-01 "Dariush Mehrjui" 7 2013-02-07
94 "tt0272152" 2013-01-27 2013-01-27 NA "K-PAX" "https://www.imdb.com/title/tt0272152/" "movie" 7.4 120 2001 "Drama, Sci-Fi" 162033 2001-10-22 "Iain Softley" 4 2013-01-31
397 "tt3566726" 2017-04-02 2017-04-02 NA "Jane the Virgin" "https://www.imdb.com/title/tt3566726/" "tvSeries" 7.8 60 2014 "Comedy" 23253 2014-10-13 NA 9 2018-01-12
257 "tt0084868" 2013-02-20 2013-02-20 NA "Vincent" "https://www.imdb.com/title/tt0084868/" "short" 8.4 6 1982 "Short, Animation, Family, Fantasy" 19599 1982-10-01 "Tim Burton" 9 2013-02-20
261 "tt0112130" 2013-06-04 2013-06-04 NA "Pride and Prejudice" "https://www.imdb.com/title/tt0112130/" "tvMiniSeries" 9 327 1995 "Drama, Romance" 62328 1995-09-24 NA 8 2017-01-13
205 "tt0303151" 2013-01-29 2013-01-29 NA "Tom and Jerry: The Magic Ring" "https://www.imdb.com/title/tt0303151/" "video" 6.3 62 2002 "Animation, Action, Comedy, Family, Fantasy" 1821 2002-03-06 "James T. Walker" 8 2013-02-01
149 "tt1313230" 2013-01-27 2013-01-27 NA "Be name pedar" "https://www.imdb.com/title/tt1313230/" "movie" 6.1 105 2006 "Drama, War" 1330 2006-02-01 "Ebrahim Hatamikia" 6 2013-02-01
358 "tt1924396" 2016-01-17 2016-01-17 NA "La migliore offerta" "https://www.imdb.com/title/tt1924396/" "movie" 7.8 131 2013 "Crime, Drama, Mystery, Romance" 87268 2013-01-01 "Giuseppe Tornatore" 6 2016-09-12
150 "tt0395461" 2013-01-27 2013-01-27 NA "Bab'Aziz" "https://www.imdb.com/title/tt0395461/" "movie" 7.6 96 2005 "Drama" 2535 2005-10-08 "Nacer Khemir" 8 2013-01-31
203 "tt0105616" 2013-01-29 2013-01-29 NA "Tom and Jerry: The Movie" "https://www.imdb.com/title/tt0105616/" "movie" 5.3 84 1992 "Animation, Comedy, Drama, Family, Musical" 7803 1992-10-01 "Phil Roman" 8 2013-02-01
399 "tt4366830" 2017-05-08 2017-05-08 NA "Grease Live!" "https://www.imdb.com/title/tt4366830/" "tvMovie" 7.4 140 2016 "Musical, Romance" 7485 2016-01-31 "Alex Rudzinski, Thomas Kail" 5 2017-05-08
225 "tt0043274" 2013-02-03 2013-02-03 NA "Alice in Wonderland" "https://www.imdb.com/title/tt0043274/" "movie" 7.4 75 1951 "Animation, Adventure, Family, Fantasy, Musical" 108655 1951-07-26 "Hamilton Luske, Clyde Geronimi, Wilfred Jackson" 5 2013-02-03
349 "tt1683042" 2015-12-11 2015-12-11 NA "Chiz-haie hast keh nemidani" "https://www.imdb.com/title/tt1683042/" "movie" 7.3 92 2010 "Drama" 939 2010-07-06 "Fardin Saheb-Zamani" 10 2015-12-11
324 "tt2582802" 2015-01-26 2015-01-26 NA "Whiplash" "https://www.imdb.com/title/tt2582802/" "movie" 8.5 107 2014 "Drama, Music" 547390 2014-01-16 "Damien Chazelle" 8 2015-01-26
57 "tt0783233" 2013-01-27 2013-01-27 NA "Atonement" "https://www.imdb.com/title/tt0783233/" "movie" 7.8 123 2007 "Drama, Mystery, Romance, War" 215788 2007-08-28 "Joe Wright" 10 2015-12-16
362 "tt2369135" 2016-02-08 2016-02-08 NA "Need for Speed" "https://www.imdb.com/title/tt2369135/" "movie" 6.5 132 2014 "Action, Crime, Thriller" 149139 2014-03-12 "Scott Waugh" 5 2016-02-08
81 "tt0443543" 2013-01-27 2013-01-27 NA "The Illusionist" "https://www.imdb.com/title/tt0443543/" "movie" 7.6 110 2006 "Drama, Mystery, Romance, Thriller" 324989 2006-01-22 "Neil Burger" 8 2013-01-31
140 "tt0472023" 2013-01-27 2013-01-27 NA "So You Think You Can Dance" "https://www.imdb.com/title/tt0472023/" "tvSeries" 6.8 60 2005 "Game-Show, Music, Reality-TV" 9489 2005-07-20 NA 9 2013-01-31
2 "tt1099212" 2013-01-27 2013-01-27 NA "Twilight" "https://www.imdb.com/title/tt1099212/" "movie" 5.2 122 2008 "Drama, Fantasy, Romance" 374642 2008-11-17 "Catherine Hardwicke" 5 2013-01-31
323 "tt3640950" 2015-01-24 2015-01-24 NA "Khate ghermez" "https://www.imdb.com/title/tt3640950/" "tvSeries" 6.1 NA 2001 "Adventure, Drama, Family" 271 2001-12-06 NA 6 2015-01-24
26 "tt0978762" 2013-01-27 2013-01-27 NA "Mary and Max" "https://www.imdb.com/title/tt0978762/" "movie" 8.1 92 2009 "Animation, Comedy, Drama" 141652 2009-01-15 "Adam Elliot" 6 2014-11-08
360 "tt3084150" 2016-01-25 2016-01-25 NA "Yousuf e Payambar" "https://www.imdb.com/title/tt3084150/" "tvSeries" 7 140 2008 "Biography, Drama, History, Romance" 1322 2008-12-31 NA 6 2016-01-25
379 "tt5613056" 2016-09-23 2016-09-23 NA "Piper" "https://www.imdb.com/title/tt5613056/" "short" 8.4 6 2016 "Animation, Short, Family" 19447 2016-06-16 "Alan Barillaro" 7 2016-09-23
169 "tt1949115" 2013-01-28 2013-01-28 NA "Alo!Alo! Man joojoo-am" "https://www.imdb.com/title/tt1949115/" "movie" 6 82 1995 "Comedy, Family, Fantasy" 183 1995-02-01 "Marzieh Boroomand" 8 2013-02-01
72 "tt0105323" 2013-01-27 2013-01-27 NA "Scent of a Woman" "https://www.imdb.com/title/tt0105323/" "movie" 8 156 1992 "Drama" 218128 1992-12-23 "Martin Brest" 9 2013-02-13
331 "tt2161980" 2015-06-03 2015-06-03 NA "Pele akher" "https://www.imdb.com/title/tt2161980/" "movie" 7.4 88 2012 "Drama" 1059 2012-02-01 "Ali Mosaffa" 8 2017-07-28
204 "tt0130417" 2013-01-29 2013-01-29 NA "The New Tom & Jerry Show" "https://www.imdb.com/title/tt0130417/" "tvSeries" 7.9 7 1975 "Animation, Family, Comedy" 5423 1975-09-06 NA 8 2013-02-01
296 "tt0054215" 2014-02-19 2014-02-19 NA "Psycho" "https://www.imdb.com/title/tt0054215/" "movie" 8.5 109 1960 "Horror, Mystery, Thriller" 494863 1960-06-16 "Alfred Hitchcock" 10 2014-02-19
21 "tt0114709" 2013-01-27 2013-01-27 NA "Toy Story" "https://www.imdb.com/title/tt0114709/" "movie" 8.3 81 1995 "Animation, Adventure, Comedy, Family, Fantasy" 731255 1995-11-19 "John Lasseter" 8 2013-02-01
320 "tt1028532" 2015-01-09 2015-01-09 NA "Hachi: A Dog's Tale" "https://www.imdb.com/title/tt1028532/" "movie" 8.1 93 2009 "Drama, Family" 203025 2009-06-13 "Lasse Hallström" 7 2015-12-24
34 "tt0382932" 2013-01-27 2013-01-27 NA "Ratatouille" "https://www.imdb.com/title/tt0382932/" "movie" 8 111 2007 "Animation, Adventure, Comedy, Drama, Family, Fantasy" 535847 2007-06-22 "Brad Bird, Jan Pinkava" 7 2013-02-01
9 "tt0167260" 2013-01-27 2013-01-27 NA "The Lord of the Rings: The Return of the King" "https://www.imdb.com/title/tt0167260/" "movie" 8.9 201 2003 "Adventure, Drama, Fantasy" 1390548 2003-12-01 "Peter Jackson" 6 2013-01-31
58 "tt0808417" 2013-01-27 2013-01-27 NA "Persepolis" "https://www.imdb.com/title/tt0808417/" "movie" 8.1 96 2007 "Animation, Biography, Drama, War" 78155 2007-05-23 "Marjane Satrapi, Vincent Paronnaud" 6 2013-01-31
396 "tt5186714" 2017-02-20 2017-02-20 NA "Forushande" "https://www.imdb.com/title/tt5186714/" "movie" 7.8 124 2016 "Drama, Thriller" 34359 2016-05-21 "Asghar Farhadi" 9 2017-02-20
188 "tt0838254" 2013-01-28 2013-01-28 NA "Atash bas" "https://www.imdb.com/title/tt0838254/" "movie" 5.3 104 2006 "Comedy, Romance" 1869 2006-07-07 "Tahmineh Milani" 3 2013-02-01
8 "tt0468569" 2013-01-27 2013-01-27 NA "The Dark Knight" "https://www.imdb.com/title/tt0468569/" "movie" 9 152 2008 "Action, Crime, Drama, Thriller" 1919216 2008-07-14 "Christopher Nolan" 7 2013-02-01
254 "tt1245104" 2013-02-20 2013-02-20 NA "Presto" "https://www.imdb.com/title/tt1245104/" "short" 8.4 5 2008 "Animation, Short, Comedy, Family, Fantasy" 19454 2008-06-10 "Doug Sweetland" 9 2013-02-20
42 "tt0499549" 2013-01-27 2013-01-27 NA "Avatar" "https://www.imdb.com/title/tt0499549/" "movie" 7.8 162 2009 "Action, Adventure, Fantasy, Sci-Fi" 985099 2009-12-10 "James Cameron" 4 2013-01-31
15 "tt0118799" 2013-01-27 2013-01-27 NA "La vita è bella" "https://www.imdb.com/title/tt0118799/" "movie" 8.6 116 1997 "Comedy, Drama, War" 505880 1997-12-20 "Roberto Benigni" 10 2013-01-31
144 "tt2149053" 2013-01-27 2013-01-27 NA "Narenji Poush" "https://www.imdb.com/title/tt2149053/" "movie" 4.9 107 2012 "Comedy, Drama" 870 2012-02-03 "Dariush Mehrjui" 2 2013-02-01
156 "tt0087530" 2013-01-27 2013-01-27 NA "Kamalolmolk" "https://www.imdb.com/title/tt0087530/" "movie" 7.5 122 1984 "Biography, Drama, History" 701 1984-12-31 "Ali Hatami" 6 2013-02-01
103 "tt0110475" 2013-01-27 2013-01-27 NA "The Mask" "https://www.imdb.com/title/tt0110475/" "movie" 6.9 101 1994 "Comedy, Fantasy" 296175 1994-07-28 "Chuck Russell" 8 2013-01-31
111 "tt0107614" 2013-01-27 2013-01-27 NA "Mrs. Doubtfire" "https://www.imdb.com/title/tt0107614/" "movie" 6.9 125 1993 "Comedy, Drama, Family" 206232 1993-11-22 "Chris Columbus" 3 2013-02-01
181 "tt1388418" 2013-01-28 2013-01-28 NA "Ekhrajiha" "https://www.imdb.com/title/tt1388418/" "movie" 4.1 107 2007 "Action, Comedy, Drama, War" 1929 2007-02-05 "Masoud Dehnamaki" 1 2013-01-31
14 "tt0102926" 2013-01-27 2013-01-27 NA "The Silence of the Lambs" "https://www.imdb.com/title/tt0102926/" "movie" 8.6 118 1991 "Crime, Drama, Thriller" 1041412 1991-01-30 "Jonathan Demme" 10 2016-02-29
293 "tt0046912" 2014-02-13 2014-02-13 NA "Dial M for Murder" "https://www.imdb.com/title/tt0046912/" "movie" 8.2 105 1954 "Crime, Film-Noir, Thriller" 130147 1954-05-19 "Alfred Hitchcock" 10 2014-04-29
105 "tt0337563" 2013-01-27 2013-01-27 NA "13 Going on 30" "https://www.imdb.com/title/tt0337563/" "movie" 6.1 98 2004 "Comedy, Fantasy, Romance" 137932 2004-04-14 "Gary Winick" 4 2013-01-31
382 "tt0245429" 2016-12-19 2016-12-19 NA "Sen to Chihiro no kamikakushi" "https://www.imdb.com/title/tt0245429/" "movie" 8.6 125 2001 "Animation, Adventure, Family, Fantasy, Mystery" 507098 2001-07-20 "Kirk Wise, Hayao Miyazaki" 8 2016-12-19
167 "tt0780061" 2013-01-28 2013-01-28 NA "Kolah ghermezi va pesar khale" "https://www.imdb.com/title/tt0780061/" "movie" 8.1 92 1994 "Comedy, Music" 1486 1994-12-31 "Iraj Tahmasb" 9 2013-02-13
100 "tt0397892" 2013-01-27 2013-01-27 NA "Bolt" "https://www.imdb.com/title/tt0397892/" "movie" 6.9 96 2008 "Animation, Adventure, Comedy, Drama, Family" 163613 2008-11-17 "Byron Howard, Chris Williams" 5 2013-01-31
93 "tt0383574" 2013-01-27 2013-01-27 NA "Pirates of the Caribbean: Dead Man's Chest" "https://www.imdb.com/title/tt0383574/" "movie" 7.3 151 2006 "Action, Adventure, Fantasy" 583496 2006-06-24 "Gore Verbinski" 5 2013-02-01
80 "tt0032910" 2013-01-27 2013-01-27 NA "Pinocchio" "https://www.imdb.com/title/tt0032910/" "movie" 7.5 88 1940 "Animation, Comedy, Family, Fantasy, Musical" 106482 1940-02-07 "Jack Kinney, Ben Sharpsteen, Hamilton Luske, Wilfred Jackson, T. Hee, Norman Ferguson, Bill Roberts" 8 2013-02-01
61 "tt0325980" 2013-01-27 2013-01-27 NA "Pirates of the Caribbean: The Curse of the Black Pearl" "https://www.imdb.com/title/tt0325980/" "movie" 8 143 2003 "Action, Adventure, Fantasy" 914591 2003-06-28 "Gore Verbinski" 5 2013-02-01
318 "tt0095765" 2014-12-20 2014-12-20 NA "Nuovo Cinema Paradiso" "https://www.imdb.com/title/tt0095765/" "movie" 8.5 155 1988 "Drama" 184123 1988-09-29 "Giuseppe Tornatore" 10 2014-12-20
129 "tt0962726" 2013-01-27 2013-01-27 NA "High School Musical 3: Senior Year" "https://www.imdb.com/title/tt0962726/" "movie" 4.6 112 2008 "Comedy, Drama, Family, Music, Musical, Romance" 49546 2008-09-28 "Kenny Ortega" 3 2013-02-01
260 "tt0816562" 2013-05-30 2013-05-30 NA "The Little Matchgirl" "https://www.imdb.com/title/tt0816562/" "short" 7.9 7 2006 "Animation, Short, Drama, Family, Fantasy" 3561 2006-09-07 "Roger Allers" 9 2013-06-01
250 "tt1602620" 2013-02-16 2013-02-16 NA "Amour" "https://www.imdb.com/title/tt1602620/" "movie" 7.9 127 2012 "Drama, Romance" 80217 2012-05-20 "Michael Haneke" 7 2013-02-21
180 "tt0926208" 2013-01-28 2013-01-28 NA "Khaharan-e gharib" "https://www.imdb.com/title/tt0926208/" "movie" 6.6 93 1996 "Drama, Family, Musical" 867 1996-02-01 "Kiumars Poorahmad" 9 2013-02-01
122 "tt0119528" 2013-01-27 2013-01-27 NA "Liar Liar" "https://www.imdb.com/title/tt0119528/" "movie" 6.9 86 1997 "Comedy, Fantasy" 245584 1997-03-18 "Tom Shadyac" 8 2013-02-01
85 "tt0449467" 2013-01-27 2013-01-27 NA "Babel" "https://www.imdb.com/title/tt0449467/" "movie" 7.5 143 2006 "Drama" 263655 2006-05-23 "Alejandro G. Iñárritu" 7 2013-02-01
7 "tt0111161" 2013-01-27 2013-01-27 NA "The Shawshank Redemption" "https://www.imdb.com/title/tt0111161/" "movie" 9.3 142 1994 "Crime, Drama" 1947227 1994-09-10 "Frank Darabont" 9 2013-01-31
160 "tt0413099" 2013-01-28 2013-01-28 NA "Evan Almighty" "https://www.imdb.com/title/tt0413099/" "movie" 5.4 96 2007 "Comedy, Family, Fantasy" 124753 2007-06-21 "Tom Shadyac" 3 2013-02-01
127 "tt0861689" 2013-01-27 2013-01-27 NA "Blindness" "https://www.imdb.com/title/tt0861689/" "movie" 6.6 121 2008 "Drama, Mystery, Sci-Fi, Thriller" 63691 2008-05-14 "Fernando Meirelles" 7 2013-02-01
165 "tt0952640" 2013-01-28 2013-01-28 NA "Alvin and the Chipmunks" "https://www.imdb.com/title/tt0952640/" "movie" 5.2 92 2007 "Animation, Comedy, Family, Fantasy, Music" 64651 2007-12-13 "Tim Hill" 2 2013-02-01
27 "tt1504320" 2013-01-27 2013-01-27 NA "The King's Speech" "https://www.imdb.com/title/tt1504320/" "movie" 8 118 2010 "Biography, Comedy, Drama, Family, Musical, Reality-TV, Talk-Show" 562637 2010-09-06 "Tom Hooper" 8 2013-01-31
383 "tt0096283" 2016-12-19 2016-12-19 NA "Tonari no Totoro" "https://www.imdb.com/title/tt0096283/" "movie" 8.2 86 1988 "Animation, Family, Fantasy" 216017 1988-04-16 "Hayao Miyazaki" 9 2016-12-19
191 "tt1909808" 2013-01-28 2013-01-28 NA "Nan va eshgh va motor 1000" "https://www.imdb.com/title/tt1909808/" "movie" 5.7 NA 2002 "Comedy" 420 NA "Abolhassan Davoodi" 2 2013-02-01
248 "tt0033045" 2013-02-14 2013-02-14 NA "The Shop Around the Corner" "https://www.imdb.com/title/tt0033045/" "movie" 8.1 99 1940 "Comedy, Drama, Romance" 22841 1940-01-10 "Ernst Lubitsch" 8 2013-02-14
207 "tt1091909" 2013-01-29 2013-01-29 NA "Murdoch Mysteries" "https://www.imdb.com/title/tt1091909/" "tvSeries" 8.1 48 2008 "Crime, Drama, Mystery" 7610 2008-01-24 NA 8 2014-06-20
