"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
91 "tt0042332" 2013-01-27 2013-01-27 NA "Cinderella" "https://www.imdb.com/title/tt0042332/" "movie" 7.3 74 1950 "Animation, Family, Fantasy, Musical, Romance" 121999 1950-02-15 "Hamilton Luske, Clyde Geronimi, Wilfred Jackson" 8 2013-02-01
56 "tt0074896" 2013-01-27 2013-01-27 NA "The Message" "https://www.imdb.com/title/tt0074896/" "movie" 8.2 177 1976 "Adventure, Biography, Drama, History, War" 38112 1976-07-30 "Moustapha Akkad" 6 2013-02-01
162 "tt0104431" 2013-01-28 2013-01-28 NA "Home Alone 2: Lost in New York" "https://www.imdb.com/title/tt0104431/" "movie" 6.6 120 1992 "Adventure, Comedy, Family" 240450 1992-11-15 "Chris Columbus" 8 2013-01-31
161 "tt0021749" 2013-01-28 2013-01-28 NA "City Lights" "https://www.imdb.com/title/tt0021749/" "movie" 8.6 87 1931 "Comedy, Drama, Romance" 133446 1931-01-30 "Charles Chaplin" 6 2013-01-31
143 "tt1360860" 2013-01-27 2013-01-27 NA "Darbareye Elly" "https://www.imdb.com/title/tt1360860/" "movie" 8.1 119 2009 "Drama, Mystery, Thriller" 34081 2009-02-07 "Asghar Farhadi" 9 2015-12-01
426 "tt5491994" 2018-04-29 2018-04-29 NA "Planet Earth II" "https://www.imdb.com/title/tt5491994/" "tvMiniSeries" 9.6 360 2016 "Documentary" 50580 2016-11-06 NA 10 2018-04-29
54 "tt0316654" 2013-01-27 2013-01-27 NA "Spider-Man 2" "https://www.imdb.com/title/tt0316654/" "movie" 7.3 127 2004 "Action, Adventure, Sci-Fi" 467751 2004-06-25 "Sam Raimi" 4 2013-02-01
90 "tt0078346" 2013-01-27 2013-01-27 NA "Superman" "https://www.imdb.com/title/tt0078346/" "movie" 7.3 143 1978 "Action, Adventure, Drama, Sci-Fi" 140291 1978-12-10 "Richard Donner" 8 2013-02-01
179 "tt0498802" 2013-01-28 2013-01-28 NA "Gol-e yakh" "https://www.imdb.com/title/tt0498802/" "movie" 3.9 94 2005 "Drama, Romance" 240 2005-12-31 "Kiumars Poorahmad" 2 2013-02-01
414 "tt1423419" 2017-09-27 2017-09-27 NA "Pigeon: Impossible" "https://www.imdb.com/title/tt1423419/" "short" 6.7 6 2009 "Animation, Short, Action, Comedy" 593 2009-10-10 "Lucas Martell" 6 2017-09-27
